id,issuer_id,notional,recovery,currency,description,issuer,,,,,,,,,,,
00287YAM1,0,1700000,0.4,USD,ABBVIE INC 4.4 06-NOV-2042 (SENIOR),ABBVIE INC ,,,,,,,,,,,
03040WAX3,1,1120000,0.4,USD,AMERICAN WATER CAPITAL CORP 3.45 01-MAY-2050 (SENIOR),AMERICAN WATER CAPITAL CORP ,,,,,,,,,,,
BSD8NXKU1,2,2801000,0.4,USD,AMGEN INC 2.77 01-SEP-2053 (SENIOR),AMGEN INC ,,,,,,,,,,,
035240AN0,5,1209000,0.4,USD,ANHEUSER-BUSCH INBEV WORLDWIDE INC 4.6 15-APR-2048 (SENIOR),ANHEUSER-BUSCH INBEV WORLDWIDE INC ,,,,,,,,,,,
035240AT7,5,90000,0.4,USD,ANHEUSER-BUSCH INBEV WORLDWIDE INC 4.5 01-JUN-2050 (SENIOR),ANHEUSER-BUSCH INBEV WORLDWIDE INC ,,,,,,,,,,,
BSD5SP2T2,3,470000,0.4,USD,ANHEUSER BUSCH INBEV NV 3.7 02-APR-2040 Reg-S (SENIOR),ANHEUSER BUSCH INBEV NV ,,,,,,,,,,,
BSDHTF4J7,4,248000,0.4,USD,ANHEUSER BUSCH INBEV SA 4.125 19-MAY-2045 Reg-S (SENIOR),ANHEUSER BUSCH INBEV SA ,,,,,,,,,,,
037833EK2,6,2000000,0.4,USD,APPLE INC 2.7 05-AUG-2051 (SENIOR),APPLE INC ,,,,,,,,,,,
00206RKD3,7,255000,0.4,USD,AT&T INC 3.1 01-FEB-2043 (SENIOR),AT&T INC ,,,,,,,,,,,
BSD4BAGD6,7,2173000,0.4,USD,AT&T INC 1.8 14-SEP-2039 (SENIOR),AT&T INC ,,,,,,,,,,,
BSD01DGT4,8,9559000,0.4,USD,AUSTRIA (REPUBLIC OF) 1.5 02-NOV-2086 Dual 144a|Reg-S,AUSTRIA (REPUBLIC OF) ,,,,,,,,,,,
BSD8E5UM9,8,4600000,0.4,USD,AUSTRIA (REPUBLIC OF) 0.7 20-APR-2071 Dual 144a|Reg-S,AUSTRIA (REPUBLIC OF) ,,,,,,,,,,,
06051GJA8,9,1309000,0.4,USD,BANK OF AMERICA CORP 4.083 20-MAR-2051 (SENIOR),BANK OF AMERICA CORP ,,,,,,,,,,,
BRT1BZ9G3,10,10804550,0.4,USD,BELGIUM (KINGDOM OF) 2.15 22-JUN-2066 Dual 144a|Reg-S,BELGIUM (KINGDOM OF) ,,,,,,,,,,,
BSD7WR5T6,11,5010000,0.4,USD,BELGIUM KINGDOM OF (GOVERNMENT) 0.65 22-JUN-2071 Dual 144a|Reg-S,BELGIUM KINGDOM OF (GOVERNMENT) ,,,,,,,,,,,
BSD3W4160,12,1100000,0.4,USD,BNG BANK NV NONDMUNI 0.805 28-JUN-2049 Reg-S,BNG BANK NV NONDMUNI ,,,,,,,,,,,
BSD4R5H07,14,570000,0.4,USD,BP CAPITAL MARKETS PLC 1.104 15-NOV-2034 Reg-S (SENIOR),BP CAPITAL MARKETS PLC ,,,,,,,,,,,
BSD7EYC63,13,1221000,0.4,USD,BP CAPITAL MARKETS BV 0.933 04-DEC-2040 Reg-S (SENIOR),BP CAPITAL MARKETS BV ,,,,,,,,,,,
171239AB2,15,1660000,0.4,USD,CHUBB INA HOLDINGS INC 2.5 15-MAR-2038 (SENIOR),CHUBB INA HOLDINGS INC ,,,,,,,,,,,
125523CJ7,16,190000,0.4,USD,CIGNA CORP 3.2 15-MAR-2040 (SENIOR),CIGNA CORP ,,,,,,,,,,,
125523CK4,16,1400000,0.4,USD,CIGNA CORP 3.4 15-MAR-2050 (SENIOR),CIGNA CORP ,,,,,,,,,,,
BSDG2H3F3,17,1600000,0.4,USD,COCA-COLA CO 3.75 15-AUG-2053 (SENIOR),COCA-COLA CO ,,,,,,,,,,,
20030NBT7,18,240000,0.4,USD,COMCAST CORPORATION 3.2 15-JUL-2036 (SENIOR),COMCAST CORPORATION ,,,,,,,,,,,
20030NCN9,18,1377000,0.4,USD,COMCAST CORPORATION 4.95 15-OCT-2058 (SENIOR),COMCAST CORPORATION ,,,,,,,,,,,
2027A0JN0,19,1301000,0.4,USD,COMMONWEALTH BANK OF AUSTRALIA 3.9 12-JUL-2047 144a (SENIOR),COMMONWEALTH BANK OF AUSTRALIA ,,,,,,,,,,,
BSDEDVPR5,20,1800000,0.4,USD,CREDIT AGRICOLE SA 4.375 27-NOV-2033 Reg-S (SENIOR NON-PREFERRED),CREDIT AGRICOLE SA ,,,,,,,,,,,
126408HG1,21,1260000,0.4,USD,CSX CORP 4.25 01-NOV-2066 (SENIOR),CSX CORP ,,,,,,,,,,,
BSD4UH7D0,23,2432000,0.4,USD,DEUTSCHE TELEKOM AG 1.75 09-DEC-2049 Reg-S (SENIOR),DEUTSCHE TELEKOM AG ,,,,,,,,,,,
BSD5UKKJ2,22,570000,0.4,USD,DEUTSCHE BAHN FINANCE GMBH 1.375 16-APR-2040 Reg-S (SENIOR),DEUTSCHE BAHN FINANCE GMBH ,,,,,,,,,,,
BSD7EY4E5,22,2447000,0.4,USD,DEUTSCHE BAHN FINANCE GMBH 0.625 08-DEC-2050 Reg-S (SENIOR),DEUTSCHE BAHN FINANCE GMBH ,,,,,,,,,,,
BSD4B19U6,24,2419000,0.4,USD,DH EUROPE FINANCE II SARL 1.8 18-SEP-2049 (SENIOR),DH EUROPE FINANCE II SARL ,,,,,,,,,,,
25243YAV1,25,1069000,0.4,USD,DIAGEO CAPITAL PLC 3.875 29-APR-2043 (SENIOR),DIAGEO CAPITAL PLC ,,,,,,,,,,,
BSD6X9468,26,1669000,0.4,USD,DIGITAL DUTCH FINCO BV 1.0 15-JAN-2032 Reg-S (SENIOR),DIGITAL DUTCH FINCO BV ,,,,,,,,,,,
260543DB6,27,600000,0.4,USD,DOW CHEMICAL COMPANY (THE) 1.875 15-MAR-2040 (SENIOR),DOW CHEMICAL COMPANY (THE) ,,,,,,,,,,,
BSDF4YXP1,28,1320000,0.4,USD,E.ON SE 4.125 25-MAR-2044 Reg-S (SENIOR),E.ON SE ,,,,,,,,,,,
BSDH022X8,28,516000,0.4,USD,E.ON SE 4.0 16-JAN-2040 Reg-S (SENIOR),E.ON SE ,,,,,,,,,,,
BSD4V9FZ9,29,500000,0.4,USD,ELECTRICITE DE FRANCE SA NONDMUNI 2.0 09-DEC-2049 Reg-S,ELECTRICITE DE FRANCE SA NONDMUNI ,,,,,,,,,,,
BSD9EWMQ8,30,2561000,0.4,USD,ELI LILLY AND COMPANY 1.125 14-SEP-2051 Reg-S (SENIOR),ELI LILLY AND COMPANY ,,,,,,,,,,,
29278GAC2,31,986000,0.4,USD,ENEL FINANCE INTERNATIONAL NV 4.75 25-MAY-2047 144a (SENIOR),ENEL FINANCE INTERNATIONAL NV ,,,,,,,,,,,
BSDCMX1E0,31,560000,0.4,USD,ENEL FINANCE INTERNATIONAL NV 4.5 20-FEB-2043 Reg-S (SENIOR),ENEL FINANCE INTERNATIONAL NV ,,,,,,,,,,,
BSD4L0T68,32,2600000,0.4,USD,ENGIE SA 1.25 24-OCT-2041 (SENIOR),ENGIE SA ,,,,,,,,,,,
BSD4JBE22,33,630000,0.4,USD,ENI SPA 1.0 11-OCT-2034 Reg-S,ENI SPA ,,,,,,,,,,,
29446MAH5,34,1382000,0.4,USD,EQUINOR ASA 3.7 06-APR-2050 (SENIOR),EQUINOR ASA ,,,,,,,,,,,
BSD60RY61,35,1600000,0.4,USD,EUROGRID GMBH 1.113 15-MAY-2032 Reg-S (SENIOR),EUROGRID GMBH ,,,,,,,,,,,
BRSXFCK03,39,875000,0.4,USD,EUROPEAN STABILITY MECHANISM 1.85 01-DEC-2055 Reg-S (SENIOR),EUROPEAN STABILITY MECHANISM ,,,,,,,,,,,
BRT1Y5SK4,36,1650000,0.4,USD,EUROPEAN FINANCIAL STABILITY FACIL 1.375 31-MAY-2047 Reg-S (SENIOR),EUROPEAN FINANCIAL STABILITY FACIL ,,,,,,,,,,,
BRT8NZZL5,37,1200000,0.4,USD,EUROPEAN FINANCIAL STABILITY FACIL GOVTGUAR 2.0 28-FEB-2056 Reg-S (SENIOR),EUROPEAN FINANCIAL STABILITY FACIL GOVTGUAR ,,,,,,,,,,,
BSD0SELH3,38,1840000,0.4,USD,EUROPEAN INVESTMENT BANK 1.5 15-NOV-2047 (SENIOR),EUROPEAN INVESTMENT BANK ,,,,,,,,,,,
BSD14ZPC7,38,1334000,0.4,USD,EUROPEAN INVESTMENT BANK 1.5 16-OCT-2048 (SENIOR),EUROPEAN INVESTMENT BANK ,,,,,,,,,,,
