date,00287YAM1,03040WAX3,BSD8NXKU1,BSD5SP2T2,BSDHTF4J7,035240AT7,035240AN0,037833EK2,BSD4BAGD6,00206RKD3,BSD8E5UM9,BSD01DGT4,06051GJA8,BRT1BZ9G3,BSD7WR5T6,BSD3W4160,BSD7EYC63,BSD4R5H07,171239AB2,125523CJ7,125523CK4,BSDG2H3F3,20030NBT7,20030NCN9,2027A0JN0,BSDEDVPR5,126408HG1,BSD7EY4E5,BSD5UKKJ2,BSD4UH7D0,BSD4B19U6,25243YAV1,BSD6X9468,260543DB6,BSDH022X8,BSDF4YXP1,BSD4V9FZ9,BSD9EWMQ8,BSDCMX1E0,29278GAC2,BSD4L0T68,BSD4JBE22,29446MAH5,BSD60RY61,BRT1Y5SK4,BRT8NZZL5,BSD7RN8E1,BSD0SELH3,BSD14ZPC7,BRSXFCK03,BSD756Q02,BSDC40JK9,BSD7RQFJ5,BRT0VJE32,BRSY45S18,BSDDEYM44,BSD7MBXB0,BSDE4MYS3,375558BT9,377372AJ6,437076CG5,437076CD2,404280AM1,BSD4H8703,BSD9N9ZD4,46647PBN5,BSD3DXSX9,57636QAQ7,BSD6ZUYK5,594918BU7,BSD9DPYZ1,BSD856B22,609207AF2,BSDFHN9A1,BSD7CNFG4,BSD8F45J6,BSDGZNBR9,641062AN4,BRTB3D342,BSD7SC3C3,BSD38ZTN1,BSD4A4UY9,717081FA6,BSDHP9NP0,BSD9RETV6,BSD2ETSH4,BSDGBNZK4,74432QCF0,21685WCJ4,BRSE8QCX9,78409VAR5,BSD9G9CU9,822905AE5,BSDHVFCC0,82620KAT0,BSD0T3UM5,BSD7PH4V2,87612EBG0,BRW6JRZG9,BSD3WBWV5,BSD7B6TZ5,BSD9SHEG7,BSD3NFSJ8,BSD6KDN54,BSD9LVM41,BSD4FKXA7,BSD61L9A2,89153VAW9,89417EAL3,902674A26,907818ER5,91324PEA6,BSD60JYT9,92343VFK5,92343VFD1,92826CAQ5,931142EC3,254687FZ4,BSD3T2G05
2025/10,,,,,,,23665.53,,,,,,,,,,,,,,,,,29004.89,,,,,,,,17627.13,,,,,,,,,32500,6300,21759.15,,,,,,20010,,2000,,,,,,,,,,,2993.62,,,9310,19818.22,,,38057.5,,,,,,,,,,,,,,,,,17906.25,70300,,,,,,,,,,,,,,,,,,44654.92,,,,,,,,,,,,,,
2025/11,31829.79,16442.55,,,,,,,,,,143385,,,,,,6292.8,,,,,,,,78750,22787.23,,,,,,,,,,,,,19929.79,,,,,,,,27600,,,,,,,,,,,,,,,,,,,,,,,,,,,14614.72,,,,,,,,10834.47,,8730,,,,19972.34,,,,18195.74,,,,,20894.04,,,,,,,,,,,21319.15,,,33191.49,,,,,,,
2025/12,,,,,,1723.4,,,,,,,,,,,11391.93,,,,,,,,,,,15291,,42560,,,,,,,10000,,,,,,,,,,,,,16187.5,,,,,,,,4495160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11250,,,,,6875,,,,,,,21036.43,,22308.51,,,,,,,21042.77,,
2026/01,,,,,,,,,,,,,,,,,,,,,,,3268.09,,21591.06,,,,,,,,16690,,20640,,,,,,,,,,,,200,,,,,,,,,,,,,,,,22531.06,10482.5,,,,,,,,,,,,,7595,,,5100,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,25445.11,
2026/02,,,,,,,,22978.72,,3363.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25200,,,,,,,,,,,,,,,,3467250,,,,,,,,,,,,,,,20523.19,,,,,,,,,,,,,,,,,,,,,29900,,,,,,,,,,,,,,,,,,,,,,,,,18536.17,,,
2026/03,,,33016.04,,,,,,,,,,22743.18,,,,,,41500,2587.23,20255.32,,,,,,,,,,,,,11250,,54450,,,,,,,,,,24000,,,,,,43800,,,,,,,,18301.28,23901.6,,,,,,,25770.43,,,,11000,11875,,,,,21123.4,,,13750,,,,,,,17350.64,,37125,,,,,17246.81,,,,,,,,,,,,,,,,23099.57,,,,1702.13,,,,
2026/04,,,,17390,,,23665.53,,,,32200,,,,,,,,,,,,,29004.89,,,,,7837.5,,,17627.13,,,,,,,,,,,21759.15,,,,,,,,,,,,,,,,23245.96,,,2993.62,,,,19818.22,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/05,31829.79,16442.55,,,10230,,,,,,,,,,,,,,,,,,,,,,22787.23,,,,,,,,,,,,,19929.79,,,,17808,,,,,,,,,44505,194427.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10834.47,14790,,,,,19972.34,,,,18195.74,8000,,,,20894.04,,,,,,,,,14562,,21319.15,,,33191.49,7500,39442,,,,,
2026/06,,,,,,1723.4,,,,,,,,232297.82,32565,8855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22687.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85650,,,,,28985,,,,,,,,,,,,,,,,,,,,,,,3631.25,8550,,,,,21036.43,,22308.51,,,,,,,21042.77,,9262.5
2026/07,,,,,,,,,,,,,,,,,,,,,,,3268.09,,21591.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22531.06,,,,10150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16776,11350.6,,,,4800,,,,,,,,,,,,,,25445.11,
2026/08,,,,,,,,22978.72,,3363.83,,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60660,0,,,,,,,,,,,,,20523.19,,,,,,,,,,,,,,,,,,,,,29900,,,,,,,,,,,,,,,,,,,,,,,,,18536.17,,,
2026/09,,,33016.04,,,,,,39114,,,,22743.18,,,,,,,2587.23,20255.32,,,,,,,,,,43542,,,,,,,28811.25,,,,,,,,,,,,,,,,,,,,,,18301.28,23901.6,,,,,,,25770.43,,,13925,,,,,,,21123.4,,,,22000,,,,,,17350.64,,,,8470,,,17246.81,,,,,,,,,,,,,,,,23099.57,,,,1702.13,,,,
2026/10,,,,,,,23665.53,,,,,,,,,,,,,,,,,29004.89,,,,,,,,17627.13,,,,,,,,,32500,6300,21759.15,,,,,,20010,,2000,,,,,,,,23245.96,,,2993.62,,,9310,19818.22,,,38057.5,,,,,,,,,,,,,,,,,17906.25,70300,,,,,,,,,,,,,,,,,,44680,11250,,,,,,,,,,,,,
2026/11,31829.79,16442.55,,,,,,,,,,143385,,,,,,6292.8,,,,,,,,78750,22787.23,,,,,,,,,,,,,19929.79,,,,,,,,27600,,,,,,,,,,,,,,,,,,,,,,,,,,,14614.72,,,,,,,,10834.47,,8730,,,,19972.34,,,,18195.74,,,,,20894.04,,,6875,,,,,,,,21319.15,,,33191.49,,,,,,,
2026/12,,,,,,1723.4,,,,,,,,,,,11391.93,,,,,,,,,,,15293.75,,42560,,,,,,,10000,,,,,,,,,,,,,16187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11250,,,,,,,,,,,,21036.43,,22308.51,,,,,,,21042.77,,
2027/01,,,,,,,,,,,,,,,,,,,,,,,3268.09,,21591.06,,,,,,,,16690,,20640,,,,,,,,,,,,200,,,,,,,,,,,,,,,,22531.06,10482.5,,,,,,,,,,,,,7595,,,5100,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,25445.11,
2027/02,,,,,,,,22978.72,,3363.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20523.19,,,,,,,,,,,,,,,,,,,,,29900,,,,,,,,,,,,,,,,,,,,,,,,,18536.17,,,
2027/03,,,33016.04,,,,,,,,,,22743.18,,,,,,41500,2587.23,20255.32,,,,,,,,,,,,,11250,,54450,,,,,,,,,,24000,,,,,,43800,,,,,,,,18301.28,23901.6,,,,,,,25770.43,,,,11000,11875,,,,,21123.4,,,13750,,,,,,,17350.64,,37125,,,,,17246.81,,,,,,,,,,,,,,,,23099.57,,,,1702.13,,,,
2027/04,,,,17390,,,23665.53,,,,32200,,,,,,,,,,,,,29004.89,,,,,7837.5,,,17627.13,,,,,,,,,,,21759.15,,,,,,,,,,,,,,,,23245.96,,,2993.62,,,,19818.22,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027/05,31829.79,16442.55,,,10230,,,,,,,,,,,,,,,,,,,,,,22787.23,,,,,,,,,,,,,19929.79,,,,17808,22687.5,,,,,,,,44505,194427.01,,,,,,,,,,,,,,,,,,,,85650,,,,,,,,,10834.47,14790,,,,,19972.34,,,,18195.74,8000,,,,20894.04,,,,,,,,,14562,,21319.15,,,33191.49,7500,39442,,,,,
2027/06,,,,,,1723.4,,,,,,,,232297.82,32565,8855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28985,,,,,,,,,,,,,,,,,,,,,,,3631.25,8550,,,,,21036.43,,22308.51,,,,,,,21042.77,,9262.5
2027/07,,,,,,,,,,,,,,,,,,,,,,,3268.09,,21591.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22531.06,,,,10150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16776,11350.6,,,,4800,,,,,,,,,,,,,,25445.11,
2027/08,,,,,,,,22978.72,,3363.83,,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60660,0,,,,,,,,,,,,,20523.19,,,,,,,,,,,,,,,,,,,,,29900,,,,,,,,,,,,,,,,,,,,,,,,,18536.17,,,
2027/09,,,33016.04,,,,,,39114,,,,22743.18,,,,,,,2587.23,20255.32,,,,,,,,,,43542,,,,,,,28811.25,,,,,,,,,,,,,,,,,,,,,,18301.28,23901.6,,,,,,,25770.43,,,13925,,,,,,,21123.4,,,,22000,,,,,,17350.64,,,,8470,,,17246.81,,,,,,,,,,,,,,,,23099.57,,,,1702.13,,,,
2027/10,,,,,,,23665.53,,,,,,,,,,,,,,,,,29004.89,,,,,,,,17627.13,,,,,,,,,32500,6300,21759.15,,,,,,20010,,2000,,,,,,,,23245.96,,,2993.62,,,9310,19818.22,,,38057.5,,,,,,,,,,,,,,,,,,70300,,,,,,,,,,,,,,,,,,44680,11250,,,,,,,,,,,,,
2027/11,31829.79,16442.55,,,,,,,,,,143385,,,,,,6292.8,,,,,,,,78750,22787.23,,,,,,,,,,,,,19929.79,,,,,,,,27600,,,,,,,,,,,,,,,,,,,,,,,,,,,14614.72,,,,,,,,10834.47,,8730,17906.25,,,19972.34,,,,18195.74,,,,,20894.04,,,6875,,,,,,,,21319.15,,,33191.49,,,,,,,
2027/12,,,,,,1723.4,,,,,,,,,,,11391.93,,,,,,,,,,,15293.75,,42560,,,,,,,10000,,,,,,,,,,,,,16187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11250,,,,,,,,,,,,21036.43,,22308.51,,,,,,,21042.77,,
2028/01,,,,,,,,,,,,,,,,,,,,,,,3268.09,,21591.06,,,,,,,,16690,,20640,,,,,,,,,,,,200,,,,,,,,,,,,,,,,22531.06,10482.5,,,,,,,,,,,,,7595,,,5100,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,25445.11,
2028/02,,,,,,,,22978.72,,3363.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25200,,,,,,,24000,,,,,,,,,,,,,,,,,,,,,,,,20523.19,,,,,,,,,,,,,,,,,,,,,29900,,,,,,,,,,,,,,,,,,,,,,,,,18536.17,,,
2028/03,,,33016.04,,,,,,,,,,22743.18,,,,,,41500,2587.23,20255.32,,,,,,,,,,,,,11250,,54450,,,,,,,,,,,,,,,,43800,,,,,,,,18301.28,23901.6,,,,,,,25770.43,,,,11000,11875,,,,,21123.4,,,13750,,,,,,,17350.64,,37125,,,,,17246.81,,,,,,,,,,,,,,,,23099.57,,,,1702.13,,,,
2028/04,,,,17390,,,23665.53,,,,32200,,,,,,,,,,,,,29004.89,,,,,7837.5,,,,,,,,,,,,,,21759.15,,,,,,,,,,,,,,,,23245.96,,,2993.62,,,,19818.22,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028/05,31829.79,16442.55,,,10230,,,,,,,,,,,,,,,,,,,,,,22787.23,,,,,17627.13,,,,,,,,19929.79,,,,17808,22687.5,,,,,,,,44505,194427.01,,,,,,,,,,,,,,,,,,,,85650,,,,,,,,,10834.47,14790,,,,,19972.34,,,,18195.74,8000,,,,20894.04,,,,,,,,,14562,,21319.15,,,33191.49,7500,39442,,,,,
2028/06,,,,,,1723.4,,,,,,,,232297.82,32565,8855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28985,,,,,,,,,,,,,,,,,,,,,,,3631.25,8550,,,,,21036.43,,22308.51,,,,,,,21042.77,,9262.5
