id,sector,rating,issuer
0,0,A,ABBVIE INC 
1,1,BBB,AMERICAN WATER CAPITAL CORP 
2,0,A,AMGEN INC 
3,1,BBB,ANHEUSER BUSCH INBEV NV 
4,0,A,ANHEUSER BUSCH INBEV SA 
5,1,BBB,ANHEUSER-BUSCH INBEV WORLDWIDE INC 
6,0,A,APPLE INC 
7,1,BBB,AT&T INC 
8,0,A,AUSTRIA (REPUBLIC OF) 
9,1,BBB,BANK OF AMERICA CORP 
10,0,A,BELGIUM (KINGDOM OF) 
11,1,BBB,BELGIUM KINGDOM OF (GOVERNMENT) 
12,0,A,BNG BANK NV NONDMUNI 
13,1,BBB,BP CAPITAL MARKETS BV 
14,0,A,BP CAPITAL MARKETS PLC 
15,1,BBB,CHUBB INA HOLDINGS INC 
16,0,A,CIGNA CORP 
17,1,BBB,COCA-COLA CO 
18,0,A,COMCAST CORPORATION 
19,1,BBB,COMMONWEALTH BANK OF AUSTRALIA 
20,0,A,CREDIT AGRICOLE SA 
21,1,BBB,CSX CORP 
22,0,A,DEUTSCHE BAHN FINANCE GMBH 
23,1,BBB,DEUTSCHE TELEKOM AG 
24,0,A,DH EUROPE FINANCE II SARL 
25,1,BBB,DIAGEO CAPITAL PLC 
26,0,A,DIGITAL DUTCH FINCO BV 
27,1,BBB,DOW CHEMICAL COMPANY (THE) 
28,0,A,E.ON SE 
29,1,BBB,ELECTRICITE DE FRANCE SA NONDMUNI 
30,0,A,ELI LILLY AND COMPANY 
31,1,BBB,ENEL FINANCE INTERNATIONAL NV 
32,0,A,ENGIE SA 
33,1,BBB,ENI SPA 
34,0,A,EQUINOR ASA 
35,1,BBB,EUROGRID GMBH 
36,0,A,EUROPEAN FINANCIAL STABILITY FACIL 
37,1,BBB,EUROPEAN FINANCIAL STABILITY FACIL GOVTGUAR 
38,0,A,EUROPEAN INVESTMENT BANK 
39,1,BBB,EUROPEAN STABILITY MECHANISM 
40,0,A,EUROPEAN UNION 
41,1,BBB,FRANCE (REPUBLIC OF) 
42,0,A,FUT INIT MARGIN SGEF
43,1,BBB,GERMANY (FEDERAL REPUBLIC OF) 
44,0,A,GILEAD SCIENCES INC 
45,1,BBB,GLAXOSMITHKLINE CAPITAL INC 
46,0,A,HOME DEPOT INC 
47,1,BBB,HSBC HOLDINGS PLC 
48,0,A,INTERNATIONAL BANK FOR RECONSTRUCT 
49,1,BBB,JPMORGAN CHASE & CO 
50,0,A,KFW GOVTGUAR 
51,1,BBB,MASTERCARD INC 
52,0,A,MEDTRONIC GLOBAL HOLDINGS SCA 
53,1,BBB,MICROSOFT CORPORATION 
54,0,A,MONDELEZ INTERNATIONAL HOLDINGS NE 
55,1,BBB,MONDELEZ INTERNATIONAL INC 
56,0,A,MSD NETHERLANDS CAPITAL BV 
57,1,BBB,NATIONAL GRID ELECTRICITY TRANSMIS 
58,0,A,NEDERLANDSE WATERSCHAPSBANK NV NONDMUNI 
59,1,BBB,NESTLE FINANCE INTERNATIONAL LTD 
60,0,A,NESTLE HOLDINGS INC. 
61,1,BBB,NORDRHEIN-WESTFALEN LAND OF 
62,0,A,NORDRHEIN-WESTFALEN LAND OF NONDMUNI 
63,1,BBB,NRW BANK NONDMUNI 
64,0,A,ORANGE SA 
65,1,BBB,PFIZER INC 
66,0,A,PFIZER NETHERLANDS INTERNATIONAL F 
67,1,BBB,PROCTER & GAMBLE CO 
68,0,A,PROLOGIS INTERNATIONAL FUNDING II 
69,1,BBB,PRUDENTIAL FINANCIAL INC 
70,0,A,RABOBANK NEDERLAND 
71,1,BBB,RESEAU FERRE DE FRANCE 
72,0,A,S&P GLOBAL INC 
73,1,BBB,SEGRO CAPITAL SARL 
74,0,A,SHELL FINANCE US INC 
75,1,BBB,SIEMENS FINANCIERINGSMAATSCHAPPIJ 
76,0,A,SNCF RESEAU NONDMUNI 
77,1,BBB,SOCIETE NATIONALE SNCF SA NONDMUNI 
78,0,A,TARGET CORPORATION 
79,1,BBB,TELEFONICA EMISIONES SAU 
80,0,A,TENNET HOLDING BV 
81,1,BBB,TERNA RETE ELETTRICA NAZIONALE SPA 
82,0,A,THERMO FISHER SCIENTIFIC
83,1,BBB,TOTAL CAPITAL INTERNATIONAL SA 
84,0,A,TRAVELERS COMPANIES INC 
85,1,BBB,UBS AG (LONDON BRANCH) 
86,0,A,UNION PACIFIC CORPORATION 
87,1,BBB,UNITEDHEALTH GROUP INC 
88,0,A,US ULTRA T-BOND DEC 
89,1,BBB,VEOLIA ENVIRONNEMENT SA 
90,0,A,VERIZON COMMUNICATIONS INC 
91,1,BBB,VISA INC 
92,0,A,WALMART INC 
93,1,BBB,WALT DISNEY CO 
94,0,A,ZURICH FINANCE (IRELAND) DAC 
