date,cashflow
31/12/2025,16919867.15
31/12/2026,17773697.55
31/12/2027,18912860.76
31/12/2028,19418879.38
31/12/2029,20251067.58
31/12/2030,20837658.1
31/12/2031,20609829.88
31/12/2032,20618655.32
31/12/2033,20947538.9
31/12/2034,21209860.86
31/12/2035,21099323.11
31/12/2036,20983194.29
31/12/2037,20886422.73
31/12/2038,20824257.94
31/12/2039,20689551.78
31/12/2040,20491795.85
31/12/2041,20278588.76
31/12/2042,20108125.65
31/12/2043,19980973.02
31/12/2044,19793017.29
31/12/2045,19587181.97
31/12/2046,19331219.69
31/12/2047,19071927.8
31/12/2048,18752168.72
31/12/2049,18355761.55
31/12/2050,17928000.17
31/12/2051,17470671.43
31/12/2052,16959128.68
31/12/2053,16402279.17
31/12/2054,15790608.92
31/12/2055,15133774.85
31/12/2056,14426197.12
31/12/2057,13689785.04
31/12/2058,12934962.47
31/12/2059,12150011.78
31/12/2060,11353196.39
31/12/2061,10537157.92
31/12/2062,9751945.938
31/12/2063,8936276.383
31/12/2064,8135294.498
31/12/2065,6907098.779
31/12/2066,6171855.629
31/12/2067,5481247.446
31/12/2068,4843636.508
31/12/2069,4255970.69
31/12/2070,3718710.204
31/12/2071,3226988.024
31/12/2072,2786365.708
31/12/2073,2402484.428
31/12/2074,2062703.938
31/12/2075,1764832.095
31/12/2076,1504691.747
31/12/2077,1280239.716
31/12/2078,1086486.193
31/12/2079,918904.3053
31/12/2080,774975.2078
31/12/2081,651604.5197
31/12/2082,546260.7766
31/12/2083,457784.3404
31/12/2084,381765.2978
31/12/2085,316241.8703
31/12/2086,261841.8117
31/12/2087,217881.5412
31/12/2088,179808.8545
31/12/2089,149345.515
31/12/2090,125777.4967
31/12/2091,104906.2738
31/12/2092,87052.14979
31/12/2093,73637.85121
31/12/2094,61977.9338
31/12/2095,52000.80905
31/12/2096,43615.02794
31/12/2097,36372.64926
31/12/2098,30248.6203
31/12/2099,25048.34735
31/12/2100,20730.93471
31/12/2101,17154.34787
31/12/2102,14013.97346
31/12/2103,11416.36145
31/12/2104,9356.232182
31/12/2105,7638.337621
31/12/2106,6166.381016
31/12/2107,4965.071947
31/12/2108,4101.479266
31/12/2109,3376.373178
31/12/2110,2751.602095
31/12/2111,2217.988175
31/12/2112,1802.443676
31/12/2113,1427.874718
31/12/2114,1082.703097
31/12/2115,872.3751711
31/12/2116,698.7303787
31/12/2117,500.1218529
31/12/2118,397.3017701
31/12/2119,313.8257567
31/12/2120,246.4745077
31/12/2121,0
31/12/2122,0
31/12/2123,0
31/12/2124,0
