date,yield
31/12/2025,0.021577757
31/12/2026,0.020099128
31/12/2027,0.019975169
31/12/2028,0.020353438
31/12/2029,0.020924515
31/12/2030,0.021535513
31/12/2031,0.02216801
31/12/2032,0.022802478
31/12/2033,0.023407806
31/12/2034,0.023993833
31/12/2035,0.024647285
31/12/2036,0.025328286
31/12/2037,0.025963569
31/12/2038,0.026495235
31/12/2039,0.02685794
31/12/2040,0.026963797
31/12/2041,0.0269064
31/12/2042,0.026835874
31/12/2043,0.026778453
31/12/2044,0.026736555
31/12/2045,0.02670452
31/12/2046,0.026681349
31/12/2047,0.026666053
31/12/2048,0.026658572
31/12/2049,0.026653931
31/12/2050,0.026652555
31/12/2051,0.026654369
31/12/2052,0.026659775
31/12/2053,0.026664944
31/12/2054,0.026670564
31/12/2055,0.026676851
31/12/2056,0.026684694
31/12/2057,0.026692432
31/12/2058,0.026699717
31/12/2059,0.026706596
31/12/2060,0.026713069
31/12/2061,0.026719198
31/12/2062,0.026725004
31/12/2063,0.026730522
31/12/2064,0.026735745
31/12/2065,0.026740718
31/12/2066,0.026745455
31/12/2067,0.02674998
31/12/2068,0.026754283
31/12/2069,0.026758399
31/12/2070,0.026762337
31/12/2071,0.026766113
31/12/2072,0.02676972
31/12/2073,0.026773182
31/12/2074,0.026776508
31/12/2075,0.026779708
31/12/2076,0.026782774
31/12/2077,0.026785728
31/12/2078,0.026788573
31/12/2079,0.026791319
31/12/2080,0.026793958
31/12/2081,0.026796507
31/12/2082,0.026798969
31/12/2083,0.026801351
31/12/2084,0.026803646
31/12/2085,0.026805868
31/12/2086,0.02680802
31/12/2087,0.026810106
31/12/2088,0.02681212
31/12/2089,0.026814075
31/12/2090,0.026815971
31/12/2091,0.026817813
31/12/2092,0.026819595
31/12/2093,0.026821328
31/12/2094,0.026823011
31/12/2095,0.02682465
31/12/2096,0.026826238
31/12/2097,0.026827784
31/12/2098,0.026829288
31/12/2099,0.026830753
31/12/2100,0.026832179
31/12/2101,0.026833567
31/12/2102,0.026834921
31/12/2103,0.026836242
31/12/2104,0.026837525
31/12/2105,0.026838779
31/12/2106,0.026840002
31/12/2107,0.026841198
31/12/2108,0.026842362
31/12/2109,0.026843499
31/12/2110,0.02684461
31/12/2111,0.026845698
31/12/2112,0.026846757
31/12/2113,0.026847794
31/12/2114,0.026848808
31/12/2115,0.026849801
31/12/2116,0.02685077
31/12/2117,0.026851719
31/12/2118,0.026852648
31/12/2119,0.026853559
31/12/2120,0.026854448
31/12/2121,0.026855319
31/12/2122,0.026856173
31/12/2123,0.026857012
31/12/2124,0.026857149
